text,emotion,sentiment,prediction,confidence,error_type
聽說我們科裡有老師要退休了。,驚奇語調,1,0,0.9769443869590759,FN
今天的電影蠻好看的。,開心語調,1,0,0.9299472570419312,FN
我今天學到了很多新知識。,平淡語氣,0,1,0.9961692690849304,FP
你知道嗎我們今天班費被偷了欸,平淡語氣,0,1,0.5225303769111633,FP
你今天看起來很累欸,平淡語氣,0,1,0.9776768088340759,FP
我沒事啦,厭惡語調,0,1,0.9920851588249207,FP
完蛋了啦！今天要報告欸，好怕被砲,平淡語氣,0,1,0.9230475425720215,FP
我最近想換髮型了，你有推薦的嗎？,開心語調,1,0,0.9883937835693359,FN
還ok嗎？ 感覺應該不太好，希望明天有好心情,悲傷語調,0,1,0.9199092984199524,FP
最近天氣變好了，你有沒有什麼推薦的戶外活動？,平淡語氣,0,1,0.9834924936294556,FP
你覺得未來我們真的可以住在月球上嗎？,驚奇語調,1,0,0.9451104998588562,FN
今天早上我在路上看到一個人，長得跟我一模一樣！,疑問語調,0,1,0.6723027229309082,FP
我剛剛在公園看到有人放風箏放到天上不見了！,驚奇語調,1,0,0.9735429883003235,FN
你還記得我們那天去的古老圖書館嗎？裡面居然有本書在自動翻頁！,平淡語氣,0,1,0.9776102900505066,FP
我剛剛發現一張看似普通的老照片，裡面的人…看起來跟現在的我一模一樣！,平淡語氣,0,1,0.9859030246734619,FP
你覺得台南的牛肉湯真的比其他地方的好喝嗎？,驚奇語調,1,0,0.9610481858253479,FN
你有聽說嗎？陳可希和朱潔瑩居然在一起了！,平淡語氣,0,1,0.9954171180725098,FP
剛剛老師宣布我們要和其他學校一起比全國賽。,驚奇語調,1,0,0.9884647130966187,FN
好啊!那你有想要吃什麼嗎?,開心語調,1,0,0.8870445489883423,FN
我這禮拜要去找女朋友！就不去了。,開心語調,1,0,0.996460497379303,FN
"嗯,確實。下次別來了。",平淡語氣,0,1,0.8969478607177734,FP
這樣真的超過份的！,關切語調,1,0,0.9921658039093018,FN
沒事的，不要難過...下次會更好。,悲傷語調,0,1,0.9957677125930786,FP
我也是欸！高一的時候都不會！,開心語調,1,0,0.6302515864372253,FN
怎麼會這樣！是哪個導演拍的！？,憤怒語調,0,1,0.6325724124908447,FP
這是個令人難過的消息。他的作品給了我們這麼多靈感和快樂...,悲傷語調,0,1,0.6075039505958557,FP
為什麼？,關切語調,1,0,0.978314995765686,FN
別氣餒，這只是一次考試而已。,關切語調,1,0,0.5542529821395874,FN
哇靠！你這隻買多久了啊！,憤怒語調,0,1,0.9882177710533142,FP
他怎麼了？是他做了什什麼事？,疑問語調,0,1,0.9965431094169617,FP
為什麼，你為什麼會這樣覺得？,關切語調,1,0,0.9231492280960083,FN
哇！運氣真背，找客服投訴吧！,憤怒語調,0,1,0.8174972534179688,FP
這聽起來很困難，有沒有什麼具體的原因讓你感覺這樣？,關切語調,1,0,0.7840828895568848,FN
很好啊，你有學到什麼新技術嗎？,平淡語氣,0,1,0.9165271520614624,FP
未來的不確定性確實讓人擔憂，你有考慮過制定一些具體的計劃嗎？,關切語調,1,0,0.8229548931121826,FN
整理得怎麼樣？需要幫忙嗎？,平淡語氣,0,1,0.977449893951416,FP
這份報告完成得很不錯，但還有一些細節可以改進。,關切語調,1,0,0.9929056167602539,FN
這個案子是不是遇到了瓶頸？我們再一起看看吧。,關切語調,1,0,0.8317776322364807,FN
這份資料是不是有什麼地方需要修改？,關切語調,1,0,0.8356419205665588,FN
這件事處理起來會不會太累？要不要換個方式？,關切語調,1,0,0.9801114201545715,FN
這條路晚上走起來不太安全，要不我們繞遠一點吧。,關切語調,1,0,0.9925445318222046,FN
你剛剛去哪了？怎麼到現在才回來？,疑問語調,0,1,0.7382311820983887,FP
你最近瘦了一點，是不是吃得比較少？,平淡語氣,0,1,0.9918632507324219,FP
那件事情你有想開一點嗎？別鑽牛角尖了。,關切語調,1,0,0.9908714890480042,FN
那個人剛剛說的話你別放在心上，沒有人會怪你的。,關切語調,1,0,0.5577017068862915,FN
你怎麼突然不說話了？發生什麼事了嗎？,疑問語調,0,1,0.994528591632843,FP
你為什麼要突然離開？是不是發生了什麼事？,疑問語調,0,1,0.8931346535682678,FP
你最近是不是在隱瞞什麼？為什麼我感覺不對勁？,疑問語調,0,1,0.9929376244544983,FP
怎麼會有這麼可怕的人，真的是讓我想避開！,厭惡語調,0,1,0.9650024175643921,FP
昨天和朋友們一起看了一場電影，大家笑成一團，整場氣氛非常輕鬆愉快。,開心語調,1,0,0.9680714011192322,FN
這是怎麼回事？我無法理解為什麼會突然變成這樣。,驚奇語調,1,0,0.9872422218322754,FN
